city,text_test,test_value,latitude,longitude
Zaragoza,Positivo fuerte,100,41.649415,-0.903916
Almeria,Positivo,50,37.35860967593699,-2.2993945829155042
Cadiz,Positivo,50,36.3821256726379,-6.1615616722578865
Cadiz,Positivo fuerte,100,36.3821256726379,-6.1615616722578865
Huelva,Positivo,50,37.26032723619983,-6.949449779036823
Huelva,Positivo,50,37.2620676,-6.9555877
Granada,Positivo,50,36.734508952902466,-3.6927693770283336
A Coruña,Positivo,50,43.35475087040772,-8.25440908441421
Huelva,Positivo,50,37.2620676,-6.9555877
Illes Balears,Positivo fuerte,100,39.82617655070801,3.115764744026869
Sevilla,Positivo,50,37.4668666,-5.6486538
Huelva,Positivo,50,37.4465988048394,-7.104240002758274
Castell,Positivo,50,40.05048474670881,0.06751030093223613
Barcelona,Positivo,50,41.377426,2.0862226
Cadiz,Positivo fuerte,100,36.38219817878872,-6.161630859503965
Huelva,Positivo,50,37.2053733,-7.2186884
Zaragoza,Positivo,50,41.6494596,-0.9038445
Girona,Positivo,50,42.28995,3.27527
Girona,Positivo,50,42.28995,3.27527
Malaga,Positivo,50,36.48525514010655,-4.990726766131534
Alicante,Positivo,50,38.2439308,-0.8119229
Alicante,Positivo,50,38.2439308,-0.8119229
Huelva,Positivo,50,37.2620676,-6.9555877
Huelva,Positivo,50,37.2620676,-6.9555877
Barcelona,Positivo,50,41.377294,2.0862384
Sevilla,Positivo,50,37.4105401,-5.9181605
Cadiz,Positivo fuerte,100,36.38214569961364,-6.161562577479066
Alicante,Positivo,50,38.257815,-0.7278901
Illes Balears,Positivo,50,38.8935123,1.398194
Huelva,Positivo,50,37.2053733,-7.2186884
Sevilla,Positivo,50,37.33700939685507,-6.037693238393661
Las Palmas,Positivo fuerte,100,27.991612127515065,-15.495409300109348
Alicante,Positivo,50,38.2439308,-0.8119229
Huelva,Positivo,50,37.4465731796226,-7.104239966528728
Sevilla,Positivo,50,37.166259,-5.9331388
Zaragoza,Positivo,50,41.5902577,-0.9288907
Zaragoza,Positivo,50,41.6498635,-0.9058459
Zaragoza,Positivo,50,41.6495791,-0.9037579
Cadiz,Positivo,50,36.6888425,-6.1349243
Toledo,Positivo,50,39.9660642,-4.8268505
Huelva,Positivo,50,37.2620796,-6.9557055
Cadiz,Positive,50,36.382172491038766,-6.161572825518889
Cadiz,Positive,50,36.382168430581146,-6.16161983475382
Tarragona,Positive,50,40.62335364485056,0.5900946173165014
Huelva,StrongPositive,100,37.2697178,-7.0271553
Badajoz,Positive,50,38.91288379795302,-6.3338951704431405
Tarragona,StrongPositive,100,40.62336518040756,0.5901484454103304
Cadiz,Positive,50,36.1492913,-5.4612896
Santa Cruz de Tenerife,Positive,50,28.0457934,-16.6336401
Santa Cruz de Tenerife,Positive,50,28.4771879,-16.301035
Illes Balears,StrongPositive,100,38.893476384939895,1.3982645137315641
Badajoz,StrongPositive,100,38.92753734630592,-6.347918726155523
Madrid,Positive,50,40.699635472918935,-3.935227037805264
Santa Cruz de Tenerife,StrongPositive,100,28.480476872019445,-16.43288626300211
Huelva,Positive,50,37.44655970123939,-7.104292193411608
Alicante,Positive,50,38.6375481,-0.8705362
Cadiz,StrongPositive,100,36.38213619401339,-6.161640426043654
Zaragoza,Positive,50,41.6494932,-0.9038639
Cadiz,Positive,50,36.138497,-5.4562882
Soria,Positive,50,41.7704272,-2.4770196
Sevilla,Positive,50,36.92151215490223,-6.071287864788295
Valencia,Positive,50,39.4928638,-0.6815187
Granada,Positive,50,36.7340272,-3.7041981
Córdoba,Positive,50,37.58087333685869,-4.7483008375262745
Zaragoza,Positive,50,41.644868333333335,-0.8882216666666667
Badajoz,Positive,50,38.912826306143145,-6.333960520413439
Illes Balears,Positive,50,39.826147530087376,3.1158352626688464
Cadiz,StrongPositive,100,36.38213449003881,-6.161643330762349
Las Palmas,Positive,50,28.075967,-15.4752238
Badajoz,Positive,50,38.90673290929053,-6.6103509077583515
Badajoz,Positive,50,38.906733476348556,-6.610340614617927
Barcelona,Positive,50,41.3772756,2.0862783
Jaen,Positive,50,37.459796462509914,-3.923134665212082
Madrid,Positive,50,40.02720995056295,-3.60681715305878
Alicante,Positive,50,38.6375406,-0.8705065
Murcia,Positive,50,38.1194036,-1.3067809
Cadiz,Positive,50,36.19512201414592,-5.919008592886784
Barcelona,Positive,50,41.3772785,2.0862537
La Rioja,StrongPositive,100,42.4607582,-2.4600674
