id,geo_location,city,postal_code,text_test
502970,"{""latitude"":""41.649415"",""longitude"":""-0.903916""}",Zaragoza,50010,Positivo fuerte
502909,"{""latitude"":""37.35860967593699"",""longitude"":""-2.2993945829155042""}",Olula del Río,4860,Positivo
500625,"{""latitude"":""36.3821256726379"",""longitude"":""-6.1615616722578865""}",Chiclana de la Frontera,11130,Positivo
499047,"{""latitude"":""36.3821256726379"",""longitude"":""-6.1615616722578865""}",Chiclana de la Frontera,11130,Positivo fuerte
498076,"{""latitude"":""37.26032723619983"",""longitude"":""-6.949449779036823""}",Huelva,21004,Positivo
497239,"{""latitude"":""37.2620676"",""longitude"":""-6.9555877""}",Huelva,21002,Positivo
497056,"{""latitude"":""36.734508952902466"",""longitude"":""-3.6927693770283336""}",Almuñécar,18690,Positivo
495388,"{""latitude"":""43.35475087040772"",""longitude"":""-8.25440908441421""}",Sada,,Positivo
495289,"{""latitude"":""37.2620676"",""longitude"":""-6.9555877""}",Huelva,21002,Positivo
495210,"{""latitude"":""38.535325674873064"",""longitude"":""-8.891145641065467""}",Setúbal,2900-700,Positivo
492474,"{""latitude"":""39.82617655070801"",""longitude"":""3.115764744026869""}",Alcúdia,7400,Positivo fuerte
491704,"{""latitude"":""37.4668666"",""longitude"":""-5.6486538""}",Carmona,41410,Positivo
491698,"{""latitude"":""37.4465988048394"",""longitude"":""-7.104240002758274""}",San Bartolomé de la Torre,21510,Positivo
490648,"{""latitude"":""40.05048474670881"",""longitude"":""0.06751030093223613""}",Benicàssim / Benicasim,12560,Positivo
490633,"{""latitude"":""41.377426"",""longitude"":""2.0862226""}",Esplugues de Llobregat,8950,Positivo
489171,"{""latitude"":""36.38219817878872"",""longitude"":""-6.161630859503965""}",Chiclana de la Frontera,11130,Positivo fuerte
486091,"{""latitude"":""37.2053733"",""longitude"":""-7.2186884""}",Lepe,21449,Positivo
485600,"{""latitude"":""41.6494596"",""longitude"":""-0.9038445""}",Zaragoza,50010,Positivo
485048,"{""latitude"":""42.28995"",""longitude"":""3.27527""}",Cadaqués,17488,Positivo
485044,"{""latitude"":""42.28995"",""longitude"":""3.27527""}",Cadaqués,17488,Positivo
484996,"{""latitude"":""36.48525514010655"",""longitude"":""-4.990726766131534""}",Marbella,29670,Positivo
484380,"{""latitude"":""38.2439308"",""longitude"":""-0.8119229""}",Crevillent,3330,Positivo
484376,"{""latitude"":""38.2439308"",""longitude"":""-0.8119229""}",Crevillent,3330,Positivo
483848,"{""latitude"":""38.97913449016706"",""longitude"":""-8.808208813779443""}",Benavente,2130-016,Positivo
482201,"{""latitude"":""37.2620676"",""longitude"":""-6.9555877""}",Huelva,21002,Positivo
482197,"{""latitude"":""37.2620676"",""longitude"":""-6.9555877""}",Huelva,21002,Positivo
482031,"{""latitude"":""41.377294"",""longitude"":""2.0862384""}",Esplugues de Llobregat,8950,Positivo
481069,"{""latitude"":""37.4105401"",""longitude"":""-5.9181605""}",Sevilla,41019,Positivo
478322,"{""latitude"":""36.38214569961364"",""longitude"":""-6.161562577479066""}",Chiclana de la Frontera,11130,Positivo fuerte
478313,"{""latitude"":""38.257815"",""longitude"":""-0.7278901""}",Elx / Elche,3205,Positivo
478040,"{""latitude"":""32.80582418259892"",""longitude"":""-16.881156630012878""}",Santana,9230-124,Positivo
477844,"{""latitude"":""38.8935123"",""longitude"":""1.398194""}",Sant Jordi de ses Salines,7817,Positivo
476476,"{""latitude"":""37.2053733"",""longitude"":""-7.2186884""}",Lepe,21449,Positivo
475940,"{""latitude"":""37.33700939685507"",""longitude"":""-6.037693238393661""}",Mairena del Aljarafe,41927,Positivo
473797,"{""latitude"":""27.991612127515065"",""longitude"":""-15.495409300109348""}",Valsequillo de Gran Canaria,35217,Positivo fuerte
473169,"{""latitude"":""38.2439308"",""longitude"":""-0.8119229""}",Crevillent,3330,Positivo
469071,"{""latitude"":""37.4465731796226"",""longitude"":""-7.104239966528728""}",San Bartolomé de la Torre,21510,Positivo
467942,"{""latitude"":""37.166259"",""longitude"":""-5.9331388""}",Los Palacios y Villafranca,41720,Positivo
467783,"{""latitude"":""41.5902577"",""longitude"":""-0.9288907""}",Cuarte de Huerva,50410,Positivo
467485,"{""latitude"":""41.6498635"",""longitude"":""-0.9058459""}",Zaragoza,50017,Positivo
467481,"{""latitude"":""41.6495791"",""longitude"":""-0.9037579""}",Zaragoza,50010,Positivo
466730,"{""latitude"":""36.6888425"",""longitude"":""-6.1349243""}",Jerez de la Frontera,11402,Positivo
466057,"{""latitude"":""39.9660642"",""longitude"":""-4.8268505""}",Talavera de la Reina,45600,Positivo
465849,"{""latitude"":""37.2620796"",""longitude"":""-6.9557055""}",Huelva,21002,Positivo
324287,"{""latitude"":36.382172491038766,""longitude"":-6.161572825518889}",Chiclana de la Frontera,11130,Positive
323368,"{""latitude"":38.700670872201215,""longitude"":-8.959685136868812}",Montijo,2870-803,Positive
322365,"{""latitude"":36.382168430581146,""longitude"":-6.16161983475382}",Chiclana de la Frontera,11130,Positive
322143,"{""latitude"":41.5803628,""longitude"":-8.4542738}",Braga,4700,Positive
321728,"{""latitude"":40.62335364485056,""longitude"":0.5900946173165014}",la Ràpita,43540,Positive
321657,"{""latitude"":37.15727332116648,""longitude"":-7.889468040771837}",São Brás de Alportel,8150-101,Positive
321655,"{""latitude"":37.157300555609716,""longitude"":-7.889434464077361}",São Brás de Alportel,8150-101,Positive
320230,"{""latitude"":37.2697178,""longitude"":-7.0271553}",Aljaraque,21110,StrongPositive
319795,"{""latitude"":38.91288379795302,""longitude"":-6.3338951704431405}",Mérida,6800,Positive
318455,"{""latitude"":40.62336518040756,""longitude"":0.5901484454103304}",la Ràpita,43540,StrongPositive
318314,"{""latitude"":36.1492913,""longitude"":-5.4612896}",Algeciras,11204,Positive
317619,"{""latitude"":28.0457934,""longitude"":-16.6336401}",San Miguel de Abona,38639,Positive
315268,"{""latitude"":28.4771879,""longitude"":-16.301035}",San Cristóbal de La Laguna,38205,Positive
315195,"{""latitude"":38.893476384939895,""longitude"":1.3982645137315641}",Sant Jordi de ses Salines,7817,StrongPositive
314573,"{""latitude"":38.92753734630592,""longitude"":-6.347918726155523}",Mérida,6800,StrongPositive
314538,"{""latitude"":40.699635472918935,""longitude"":-3.935227037805264}",El Boalo,28412,Positive
311875,"{""latitude"":37.12910272374133,""longitude"":-7.642882816067434}",Tavira,8800-671,Positive
310937,"{""latitude"":28.480476872019445,""longitude"":-16.43288626300211}",El Sauzal,38360,StrongPositive
306766,"{""latitude"":37.44655970123939,""longitude"":-7.104292193411608}",San Bartolomé de la Torre,21510,Positive
305735,"{""latitude"":38.6375481,""longitude"":-0.8705362}",Villena,3400,Positive
305434,"{""latitude"":36.38213619401339,""longitude"":-6.161640426043654}",Chiclana de la Frontera,11130,StrongPositive
305302,"{""latitude"":41.6494932,""longitude"":-0.9038639}",Zaragoza,50010,Positive
305274,"{""latitude"":36.138497,""longitude"":-5.4562882}",Algeciras,11204,Positive
302352,"{""latitude"":37.1297908,""longitude"":-8.3478007}",Alcantarilha e Pêra,8365,Positive
301843,"{""latitude"":41.7704272,""longitude"":-2.4770196}",Soria,42005,Positive
300562,"{""latitude"":36.92151215490223,""longitude"":-6.071287864788295}",Lebrija,41740,Positive
299890,"{""latitude"":38.64811079347221,""longitude"":-8.215872227111333}",Montemor-o-Novo,7050-163,Positive
298008,"{""latitude"":39.4928638,""longitude"":-0.6815187}",Cheste,46380,Positive
297988,"{""latitude"":36.7340272,""longitude"":-3.7041981}",Almuñécar,18690,Positive
295724,"{""latitude"":37.58087333685869,""longitude"":-4.7483008375262745}",Montalbán de Córdoba,14548,Positive
295314,"{""latitude"":38.75774598,""longitude"":-9.37288625}",Sintra,2710-297,Positive
293134,"{""latitude"":37.1297836,""longitude"":-8.3479296}",Alcantarilha e Pêra,8365,StrongPositive
292517,"{""latitude"":37.0633763,""longitude"":-7.7601257}",Moncarapacho e Fuseta,8700,Positive
292296,"{""latitude"":37.0633767,""longitude"":-7.7601245}",Moncarapacho e Fuseta,8700,Positive
