FID_1,COD_POSTAL,area_cp,Censo_mascota_CP,Cod _prov,Cod _prov,Cod _prov,CCAA,COD_CCAA,Prov
0,01001,400138.2856,1133.577074,01,1,01,País Vasco,16,Araba/Álava
1,01002,1857745.776,4772.007849,01,1,01,País Vasco,16,Araba/Álava
2,01003,1583113.156,973.9792165,01,1,01,País Vasco,16,Araba/Álava
3,01004,211401.3244,973.9792165,01,1,01,País Vasco,16,Araba/Álava
4,01005,355300.7792,1133.577074,01,1,01,País Vasco,16,Araba/Álava
5,01006,3757663.818,973.9792165,01,1,01,País Vasco,16,Araba/Álava
6,01007,5939319.291,2038.071312,01,1,01,País Vasco,16,Araba/Álava
7,01008,1090784.057,2038.071312,01,1,01,País Vasco,16,Araba/Álava
8,01009,717695.5999,2038.071312,01,1,01,País Vasco,16,Araba/Álava
9,01010,6429326.334,2267.458779,01,1,01,País Vasco,16,Araba/Álava
10,01012,737574.1708,1133.577074,01,1,01,País Vasco,16,Araba/Álava
11,01013,9982156.159,2267.458779,01,1,01,País Vasco,16,Araba/Álava
12,01015,8594462.502,60.94804561,01,1,01,País Vasco,16,Araba/Álava
13,01100,395478.4292,60.94804561,01,1,01,País Vasco,16,Araba/Álava
14,01110,31900007.72,0,31,31,31,"Navarra, Comunidad Foral de",15,Navarra
15,01117,117448599.5,93.91351833,01,1,01,País Vasco,16,Araba/Álava
16,01118,80899217.47,14.9704589,01,1,01,País Vasco,16,Araba/Álava
17,01120,4326328.382,35.33724601,01,1,01,País Vasco,16,Araba/Álava
18,01128,95039909.92,23.45662019,01,1,01,País Vasco,16,Araba/Álava
19,01129,81380812.27,35.33724601,01,1,01,País Vasco,16,Araba/Álava
20,01130,2796947.61,102.5737547,01,1,01,País Vasco,16,Araba/Álava
21,01138,92912740.42,158.3213066,01,1,01,País Vasco,16,Araba/Álava
22,01139,102561495.9,102.5737547,01,1,01,País Vasco,16,Araba/Álava
23,01160,10354940.51,40.8786368,01,1,01,País Vasco,16,Araba/Álava
24,01165,29771031.41,40.8786368,01,1,01,País Vasco,16,Araba/Álava
25,01169,33329402.6,40.8786368,01,1,01,País Vasco,16,Araba/Álava
26,01170,45005504.09,177.8177182,01,1,01,País Vasco,16,Araba/Álava
27,01191,63161995.36,60.94804561,01,1,01,País Vasco,16,Araba/Álava
28,01192,46820236.45,55.44292046,01,1,01,País Vasco,16,Araba/Álava
29,01193,48692919.38,60.94804561,01,1,01,País Vasco,16,Araba/Álava
30,01194,89724004.49,60.94804561,01,1,01,País Vasco,16,Araba/Álava
31,01195,26685343.04,60.94804561,01,1,01,País Vasco,16,Araba/Álava
32,01196,35637553.36,60.94804561,01,1,01,País Vasco,16,Araba/Álava
33,01200,21951501.63,441.9766877,01,1,01,País Vasco,16,Araba/Álava
34,01206,92470480.06,77.89860881,01,1,01,País Vasco,16,Araba/Álava
35,01207,66285941.03,63.53741277,01,1,01,País Vasco,16,Araba/Álava
36,01208,107799220.1,46.62311522,01,1,01,País Vasco,16,Araba/Álava
37,01211,75365643.14,39.8631987,01,1,01,País Vasco,16,Araba/Álava
38,01212,94868036.11,26.37237818,01,1,01,País Vasco,16,Araba/Álava
39,01213,68994895.36,124.463699,01,1,01,País Vasco,16,Araba/Álava
40,01216,50280097.79,23.45662019,01,1,01,País Vasco,16,Araba/Álava
41,01220,30906746.63,20.27974956,01,1,01,País Vasco,16,Araba/Álava
42,01230,19293911.78,156.6675931,01,1,01,País Vasco,16,Araba/Álava
43,01240,15523104.43,258.4144911,01,1,01,País Vasco,16,Araba/Álava
44,01250,13565157.95,46.62311522,01,1,01,País Vasco,16,Araba/Álava
