Postal code,Dudoso,Error,Invalido,Inválido,Negativo,Positivo,Positivo Fuerte
00nan,8,21,0,0,343,28,0
01002,1,0,0,0,25,5,0
01004,0,0,0,0,1,1,0
01006,0,0,0,0,16,3,0
01012,0,0,0,0,2,1,0
01013,0,0,0,0,2,0,0
01300,0,0,0,0,2,0,0
02003,0,1,0,0,0,0,0
02124,1,0,0,0,1,2,0
02270,0,0,0,0,5,0,0
02400,0,0,0,0,1,1,0
02600,0,0,0,0,6,2,0
02660,0,0,0,0,1,1,0
03005,0,0,0,0,3,0,0
03006,0,0,0,0,1,0,0
03007,0,0,0,0,2,0,0
03009,2,1,0,0,26,4,0
03013,1,0,0,0,8,2,0
03015,1,1,0,0,101,8,0
03016,0,1,0,0,8,0,0
03130,0,0,0,0,23,4,0
03139,0,0,0,0,1,0,0
03170,0,0,0,0,5,0,0
03181,0,1,0,0,30,2,0
03183,2,0,0,0,52,4,0
03184,0,1,0,0,17,1,0
03187,0,0,0,0,3,0,0
03195,4,1,0,0,94,10,0
03201,0,0,0,0,161,6,0
03202,1,1,0,0,121,21,0
03203,0,0,0,0,41,2,0
03204,0,0,0,0,1,2,0
03205,1,1,0,0,259,21,0
03206,0,1,0,0,33,2,0
03292,0,0,0,0,8,0,0
03293,0,0,0,0,8,0,0
03294,0,0,0,0,2,4,0
03295,0,0,0,0,1,0,0
03296,0,0,0,0,1,0,0
03300,0,0,0,0,6,3,0
03320,2,3,0,0,37,3,0
03330,0,1,0,0,77,6,0
03340,0,0,0,0,4,1,0
03380,0,0,0,0,3,0,0
03390,1,3,0,0,84,11,0
03400,1,1,0,0,194,24,0
03409,0,0,0,0,24,1,0
03410,0,0,0,0,1,0,0
03502,0,0,0,0,7,0,0
03503,1,3,0,0,23,0,0
03509,0,0,0,0,12,1,0
03520,0,0,0,0,2,1,0
03530,0,0,0,0,26,3,0
03540,0,0,0,0,1,0,0
03580,0,1,0,0,6,2,0
03581,1,0,0,0,10,2,0
03590,0,1,0,0,18,1,0
03630,0,0,0,0,13,2,0
03688,0,1,0,0,9,0,0
03690,0,0,0,0,2,0,0
03700,0,0,0,0,8,0,0
03727,0,1,0,0,1,0,0
03730,0,0,0,0,10,3,0
03738,0,0,0,0,34,1,0
03739,1,0,0,0,41,2,0
03750,0,2,0,0,6,0,0
03780,1,0,0,0,135,10,0
03789,0,0,0,0,2,1,0
03803,0,0,0,0,113,17,0
03804,0,0,0,0,1,0,0
04003,1,1,0,0,68,5,0
04004,0,0,0,0,14,9,0
04005,0,0,0,0,19,5,0
04007,0,0,0,0,2,0,0
04008,0,0,0,0,2,0,0
04009,0,0,0,0,0,1,0
04120,0,0,0,0,1,0,0
04130,0,0,0,0,7,1,0
04230,0,0,0,0,6,0,0
04600,0,2,0,0,37,14,0
04630,1,0,0,0,8,4,0
04660,0,0,0,0,1,0,0
04700,1,3,0,0,76,6,0
04720,0,0,0,0,23,2,0
04721,0,0,0,0,1,0,0
04738,0,0,0,0,1,0,0
04740,0,0,0,0,2,0,0
04741,0,0,0,0,0,1,0
04745,0,0,0,0,3,1,0
04746,0,0,0,0,16,1,0
04760,0,0,0,0,7,4,0
04800,0,0,0,0,101,5,0
04815,0,0,0,0,1,0,0
04860,0,1,0,0,19,4,0
05001,0,0,0,0,1,0,0
05004,2,3,0,0,37,6,0
05200,0,0,0,0,4,0,0
06003,1,0,0,0,91,6,0
06005,0,0,0,0,1,0,0
06006,0,0,0,0,2,0,0
06010,0,3,0,0,16,1,0
06011,1,3,0,0,120,9,0
06100,0,0,0,0,47,10,0
06160,0,0,0,0,4,0,0
06200,0,1,0,0,11,0,0
06225,0,0,0,0,5,1,0
06300,0,0,0,0,9,3,0
06310,2,7,0,0,24,9,0
06360,0,0,0,0,6,2,0
06400,0,1,0,0,74,1,0
06430,1,0,0,0,39,3,0
06450,0,0,0,0,1,0,0
06480,3,1,0,0,84,8,0
06500,0,1,0,0,3,2,0
06510,0,0,0,0,1,0,0
06700,0,0,0,0,2,0,0
06800,6,3,0,0,213,26,0
06850,0,0,0,0,0,1,0
06900,0,0,0,0,7,1,0
07006,0,5,0,0,51,5,0
07007,0,0,0,0,19,1,0
07010,0,0,0,0,20,0,0
07011,0,0,0,0,83,0,0
07013,1,0,0,0,5,3,0
07141,0,0,0,0,15,3,0
07144,0,0,0,0,3,0,0
07193,0,0,0,0,14,0,0
07200,2,0,0,0,3,0,0
07260,0,0,0,0,6,0,0
07300,1,0,0,0,11,9,0
07330,0,0,0,0,16,2,0
07400,0,2,0,0,77,4,0
07460,0,0,0,0,3,1,0
07500,1,7,0,0,122,25,0
07590,0,2,0,0,99,7,0
07600,0,0,0,0,1,0,0
07620,0,4,0,0,25,6,0
07630,0,0,0,0,24,5,0
07650,2,6,0,0,163,16,0
07680,1,1,0,0,26,4,0
07710,0,0,0,0,11,0,0
07730,0,0,0,0,2,2,0
