codigo_postal,nombre,provincia
01001,Vitoria/Gasteiz,Alava/Araba
01002,Vitoria/Gasteiz,Alava/Araba
01003,Vitoria/Gasteiz,Alava/Araba
01004,Vitoria/Gasteiz,Alava/Araba
01005,Vitoria/Gasteiz,Alava/Araba
01006,Vitoria/Gasteiz,Alava/Araba
01007,Vitoria/Gasteiz,Alava/Araba
01008,Vitoria/Gasteiz,Alava/Araba
01009,Vitoria/Gasteiz,Alava/Araba
01010,Vitoria/Gasteiz,Alava/Araba
01012,Vitoria/Gasteiz,Alava/Araba
01013,Vitoria/Gasteiz,Alava/Araba
01015,Vitoria/Gasteiz,Alava/Araba
01070,Vitoria/Gasteiz CODIGO CORRESPONDENCIA OFICIAL CORREOS-TELEGRAFOS,Alava/Araba
01071,Vitoria/Gasteiz CODIGO CORRESPONDENCIA PARA ORGANISMOS OFICIALES,Alava/Araba
01080,Vitoria/Gasteiz CODIGO POSTAL PARA APARTADOS PARTICULARES Y LISTA,Alava/Araba
01110,CAMPEZO,Alava/Araba
01110,KANPEZU,Alava/Araba
01110,SANTA CRUZ DE CAMPEZO-SANTIKURUTZE KANPEZU,Alava/Araba
01117,ALDA,Alava/Araba
01117,DONE BIKENDI HARANA,Alava/Araba
01117,HARANA,Alava/Araba
01117,KONTRASTA,Alava/Araba
01117,ORBISO,Alava/Araba
01117,OTEO,Alava/Araba
01117,SAN VICENTE DE ARANA,Alava/Araba
01117,ULLIBARRI-ARANA,Alava/Araba
01117,URIBARRI-HARANA,Alava/Araba
01117,VALLE DE ARANA,Alava/Araba
01118,ANGOSTINA,Alava/Araba
01118,BERNEDO,Alava/Araba
01118,LAGRAN,Alava/Araba
01118,NAFARRETE,Alava/Araba
01118,PIPAON,Alava/Araba
01118,URTURI,Alava/Araba
01118,VILLAFRIA,Alava/Araba
01118,VILLAVERDE,Alava/Araba
01120,ARRAIA-MAEZTU,Alava/Araba
01120,MAESTU,Alava/Araba
01128,ANTOÑANA,Alava/Araba
01128,ATAURI,Alava/Araba
01128,AZAZETA,Alava/Araba
01128,BERROZI,Alava/Araba
01128,BUJANDA,Alava/Araba
01128,BUXANDA,Alava/Araba
01128,DURRUMA KANPEZU,Alava/Araba
01128,KINTANA,Alava/Araba
01128,SAN ROMAN DE CAMPEZO,Alava/Araba
01129,ALETXA,Alava/Araba
01129,APELLANIZ,Alava/Araba
01129,APINANIZ,Alava/Araba
01129,AREATZA,Alava/Araba
01129,ARENAZA,Alava/Araba
01129,BIRGARA BARREN,Alava/Araba
01129,BIRGARA GOIEN,Alava/Araba
01129,CICUJANO,Alava/Araba
01129,ELORTZA,Alava/Araba
01129,ERROETA,Alava/Araba
01129,ERROITEGI,Alava/Araba
01129,IBISATE,Alava/Araba
01129,KORRES,Alava/Araba
01129,LEORZA,Alava/Araba
01129,MUSITU,Alava/Araba
01129,ONRAITA,Alava/Araba
01129,ROITEGUI,Alava/Araba
01129,SABANDO,Alava/Araba
01129,VIRGALA MAYOR,Alava/Araba
01129,VIRGALA MENOR,Alava/Araba
01129,ZEKUIANO,Alava/Araba
01130,MURGUIA,Alava/Araba
