Postal code,Value test,City,Geo Location
1002.0,3,Álava,"{""latitude"":42.8528236,""longitude"":-2.65706}"
1004.0,1,Araba,"{""latitude"":42.8444921,""longitude"":-2.6658706}"
1006.0,3,Araba,"{""latitude"":42.8359516,""longitude"":-2.6710249}"
1012.0,1,Gasteiz,"47.5004675,19.0281576"
1013.0,0,Araba,"{""latitude"":42.8613765,""longitude"":-2.6665154}"
1300.0,0,Araba,"{""latitude"":42.55221216,""longitude"":-2.59291027}"
2003.0,-1,Albacete,"{""latitude"":38.9912202,""longitude"":-1.8609573}"
2124.0,0,Alcadozo,"48.4881969,16.4668783"
2270.0,0,Albacete,"{""latitude"":39.3618791,""longitude"":-1.5998022}"
2400.0,1,Albacete,"{""latitude"":38.50416494444254,""longitude"":-1.6977148913096605}"
2600.0,2,Albacete,"{""latitude"":39.2626744,""longitude"":-2.6025305}"
2660.0,1,Albacete,"{""latitude"":38.7047215,""longitude"":-0.9844793}"
3005.0,0,Alicante,"{""latitude"":""38.3541755"",""longitude"":""-0.502951""}"
3006.0,0,Alicante,"{""latitude"":38.3439876,""longitude"":-0.4997999}"
3007.0,0,Alicante,"{""latitude"":38.3407024,""longitude"":-0.4995537}"
3009.0,-1,Alicante,"{""latitude"":38.3685369,""longitude"":-0.4994152}"
3013.0,0,Alicante,"{""latitude"":38.3534824,""longitude"":-0.4775322}"
3015.0,5,Alicante,"{""latitude"":38.3787368,""longitude"":-0.4548067}"
3016.0,-1,Alicante,"{""latitude"":38.3730805,""longitude"":-0.4550272}"
3130.0,4,Alicante,"{""latitude"":38.1906524,""longitude"":-0.5498795}"
3139.0,0,Alicante,"{""latitude"":""38.222119515827195"",""longitude"":""-0.6055583280882396""}"
3170.0,0,Alicante,"{""latitude"":""38.0734452"",""longitude"":""-0.7197639""}"
3181.0,1,Alicante,"{""latitude"":37.982453293924685,""longitude"":-0.6862409899540253}"
3183.0,0,Alicante,"{""latitude"":37.9917582,""longitude"":-0.6772706}"
3184.0,0,Alicante,"{""latitude"":37.9954408,""longitude"":-0.6887728}"
3187.0,0,Alicante,"{""latitude"":38.027821,""longitude"":-0.7402835}"
3195.0,1,Alicante,"{""latitude"":38.2720399,""longitude"":-0.5390709}"
3201.0,6,Alicante,"{""latitude"":38.266736,""longitude"":-0.7010739}"
3202.0,18,Alicante,"{""latitude"":38.27315463803576,""longitude"":-0.6796033850205059}"
3203.0,2,Alicante,"{""latitude"":38.264388090824795,""longitude"":-0.6943840124123558}"
3204.0,2,Alicante,"{""latitude"":38.25978320297158,""longitude"":-0.7084595474057079}"
3205.0,18,Alicante,"{""latitude"":38.2742721,""longitude"":-0.7185809}"
3206.0,1,Alicante,"{""latitude"":38.2738342,""longitude"":-0.706408}"
3292.0,0,Alicante,"{""latitude"":38.229550387959115,""longitude"":-0.628507177053891}"
3293.0,0,Alicante,"{""latitude"":38.2582922,""longitude"":-0.7265382}"
3294.0,4,Alicante,"{""latitude"":38.1988141,""longitude"":-0.6808406}"
3295.0,0,Alicante,"{""latitude"":38.29854,""longitude"":-0.5738106}"
3296.0,0,Alicante,"{""latitude"":""38.2107284876365"",""longitude"":""-0.7358826819368208""}"
3300.0,3,Alicante,"{""latitude"":38.08386648367414,""longitude"":-0.9444539801167467}"
3320.0,-4,Alicante,"{""latitude"":38.303567,""longitude"":-0.5919178}"
3330.0,5,Alicante,"{""latitude"":38.2439762,""longitude"":-0.8119023}"
3340.0,1,Alicante,"{""latitude"":38.1819129,""longitude"":-0.8658333}"
3380.0,0,Alicante,"{""latitude"":38.06384690156788,""longitude"":-0.8949453371760501}"
3390.0,6,Alicante,"{""latitude"":""38.0846698"",""longitude"":""-0.8394016""}"
3400.0,21,Alicante,"{""latitude"":38.64170638898831,""longitude"":-0.8686351801084768}"
3409.0,1,Alicante,"{""latitude"":38.6318476,""longitude"":-0.8667666}"
3410.0,0,Alicante,"{""latitude"":38.62657977086243,""longitude"":-0.7805538717502459}"
3502.0,0,Alicante,"{""latitude"":38.542227,""longitude"":-0.1230484}"
3503.0,-5,Alicante,"{""latitude"":38.5424202,""longitude"":-0.1229884}"
3509.0,1,Alicante,"{""latitude"":38.5399067,""longitude"":-0.1760319}"
3520.0,1,Alicante,"{""latitude"":""38.6224925"",""longitude"":""-0.1315806""}"
3530.0,3,Alicante,"{""latitude"":38.6040838,""longitude"":-0.1293152}"
3540.0,0,Alicante (Alacant),"50.9317296,5.1704278"
3580.0,1,Alicante,"{""latitude"":""38.5781498"",""longitude"":""-0.0813589""}"
3581.0,0,Alicante,"{""latitude"":""38.5751332"",""longitude"":""-0.0674871""}"
3590.0,0,Alicante,"{""latitude"":38.604892,""longitude"":-0.0475485}"
3630.0,2,Alicante,"{""latitude"":38.5379627,""longitude"":-0.8154919}"
3688.0,-1,Alicante,"{""latitude"":38.3075505,""longitude"":-0.8490767}"
3690.0,0,Alicante,"{""latitude"":""38.3984637"",""longitude"":""-0.5248255""}"
3700.0,0,Alicante,"{""latitude"":38.8374792,""longitude"":0.1078478}"
3727.0,-1,Alicante,"{""latitude"":""38.7423718"",""longitude"":""-0.009719""}"
3730.0,3,Alicante,"{""latitude"":38.7894128,""longitude"":0.171208}"
3738.0,1,Alicante,"{""latitude"":38.76940396384798,""longitude"":0.1876522281014715}"
3739.0,0,Alicante,"{""latitude"":38.76572783,""longitude"":0.14531551}"
3750.0,-2,Pedreguer,"{""latitude"":""38.7968125"",""longitude"":""0.0326241""}"
3780.0,8,Alicante,"{""latitude"":38.8405154,""longitude"":-0.1125091}"
3789.0,1,Alicante,"{""latitude"":38.8481196,""longitude"":-0.0949753}"
3803.0,17,Alicante,"{""latitude"":38.702888,""longitude"":-0.4808629}"
3804.0,0,Alicante,"{""latitude"":38.7049289,""longitude"":-0.4736818}"
4003.0,2,Almería,"{""latitude"":36.84658317544205,""longitude"":-2.463992910979191}"
4004.0,9,Almería,"{""latitude"":36.8348617,""longitude"":-2.4602674}"
4005.0,5,Almería,"{""latitude"":36.841819630406256,""longitude"":-2.4550408862715933}"
4007.0,0,Almería,"{""latitude"":36.832231534556655,""longitude"":-2.4464008871474174}"
4008.0,0,Almería,"{""latitude"":""36.851764659414386"",""longitude"":""-2.457749606405449""}"
4009.0,1,Almería,"{""latitude"":36.8556807,""longitude"":-2.4445365}"
4120.0,0,Almería,"{""latitude"":""36.8404904"",""longitude"":""-2.406225""}"
4130.0,1,Almería,"{""latitude"":""36.8537963"",""longitude"":""-2.3559731""}"
4230.0,0,Almería,"{""latitude"":""36.87065063123088"",""longitude"":""-2.4400252541994107""}"
4600.0,12,Almería,"{""latitude"":37.3961062,""longitude"":-1.941356}"
4630.0,2,Almería,"{""latitude"":""37.17411373188033"",""longitude"":""-1.822873334616797""}"
4660.0,0,Almería,"{""latitude"":37.34409131749962,""longitude"":-2.0874333104643203}"
4700.0,1,Almería,"{""latitude"":36.772986725604056,""longitude"":-2.812932354267844}"
4720.0,2,Almería,"{""latitude"":36.802749,""longitude"":-2.599645}"
4721.0,0,Almería,"{""latitude"":36.8027098,""longitude"":-2.5997001}"
4738.0,0,Almería,"{""latitude"":""36.79274"",""longitude"":""-2.67975""}"
4740.0,0,Almería,"{""latitude"":36.7342103,""longitude"":-2.6210791}"
4741.0,1,Almería,"{""latitude"":36.757780859981615,""longitude"":-2.651390734548545}"
4745.0,1,Almería,"{""latitude"":36.7544383,""longitude"":-2.6842113}"
4746.0,1,Almería,"{""latitude"":""36.8006268"",""longitude"":""-2.6925061""}"
4760.0,4,Berja,"50.4037582,6.298376"
