post_code,casos_positivos,total_casos
0,28,371
1002,5,30
1004,1,2
1006,3,19
1012,1,3
1013,0,2
1300,0,2
2124,2,2
2270,0,5
2400,1,2
2600,2,8
2660,1,2
3005,0,3
3006,0,1
3007,0,2
3009,4,30
3013,2,10
3015,8,109
3016,0,8
3130,4,27
3139,0,1
3170,0,5
3181,2,31
3183,4,56
3184,1,18
3187,0,3
3195,10,104
3201,6,167
3202,21,142
3203,2,43
3204,2,3
3205,21,279
3206,2,35
3292,0,8
3293,0,8
3294,4,6
3295,0,1
3296,0,1
3300,3,9
3320,3,40
3330,6,83
3340,1,5
3380,0,3
3390,11,95
3400,24,218
3409,1,25
3410,0,1
3502,0,7
3503,0,23
3509,1,13
3520,1,3
3530,3,29
3540,0,1
3580,2,8
3581,2,12
3590,1,19
3630,2,15
3688,0,9
3690,0,2
3700,0,8
3727,0,1
3730,3,13
3738,1,34
3739,2,43
3750,0,6
3780,10,145
3789,1,3
3803,17,130
3804,0,1
4003,5,72
4004,9,23
4005,5,24
4007,0,2
4008,0,2
4009,1,1
4120,0,1
4130,1,7
4230,0,6
4600,14,51
4630,4,11
4660,0,1
4700,6,81
4720,2,24
4721,0,1
4738,0,1
4740,0,2
4741,1,1
4745,1,4
4746,1,17
4760,4,11
4800,5,106
4815,0,1
4860,4,21
5001,0,1
5004,6,43
5200,0,4
6003,6,97
6005,0,1
6006,0,2
6010,1,17
6011,9,129
6100,10,57
6160,0,4
6200,0,11
6225,1,6
6300,3,12
6310,9,33
6360,2,8
6400,1,75
6430,3,42
6450,0,1
6480,8,92
6500,2,5
6510,0,1
6700,0,2
6800,26,237
6850,1,1
6900,1,8
7006,5,56
7007,1,20
7010,0,19
7011,0,83
7013,3,8
7141,3,18
7144,0,3
7193,0,14
7200,0,3
7260,0,6
7300,9,20
7330,2,18
7400,4,81
7460,1,4
7500,25,147
7590,7,106
7600,0,1
7620,6,31
7630,5,28
7650,16,179
7680,4,30
7710,0,11
7730,2,4
7740,1,68
7749,0,1
7760,5,9
7800,0,8
7816,0,1
7817,13,233
8001,1,7
8002,0,4
8003,0,19
8005,0,5
8008,0,1
8011,1,25
8012,1,44
8013,3,7
8014,2,15
8015,0,4
8017,4,58
8018,0,6
8020,0,1
8021,10,141
8022,4,33
8023,1,29
8024,1,23
8025,0,3
8026,1,16
8027,20,193
8028,5,92
8029,6,61
8030,5,69
8031,0,1
