Postal code,n_positives,city
01002,5,Álava
01004,1,Araba
01006,3,Araba
01012,1,Gasteiz
01013,0,Araba
01300,0,Araba
02003,0,Albacete
02124,2,Alcadozo
02270,0,Albacete
02400,1,Albacete
02600,2,Albacete
02660,1,Albacete
03005,0,Alicante
03006,0,Alicante
03007,0,Alicante
03009,4,Alicante
03013,2,Alicante
03015,8,Alicante
03016,0,Alicante
03130,4,Alicante
03139,0,Alicante
03170,0,Alicante
03181,2,Alicante
03183,4,Alicante
03184,1,Alicante
03187,0,Alicante
03195,10,Alicante
03201,6,Alicante
03202,21,Alicante
03203,2,Alicante
03204,2,Alicante
03205,21,Alicante
03206,2,Alicante
03292,0,Alicante
03293,0,Alicante
03294,4,Alicante
03295,0,Alicante
03296,0,Alicante
03300,3,Alicante
03320,3,Alicante
03330,6,Alicante
03340,1,Alicante
03380,0,Alicante
03390,11,Alicante
03400,24,Alicante
03409,1,Alicante
03410,0,Alicante
03502,0,Alicante
03503,0,Alicante
03509,1,Alicante
03520,1,Alicante
03530,3,Alicante
03540,0,Alicante (Alacant)
03580,2,Alicante
03581,2,Alicante
03590,1,Alicante
03630,2,Alicante
03688,0,Alicante
03690,0,Alicante
03700,0,Alicante
03727,0,Alicante
03730,3,Alicante
03738,1,Alicante
03739,2,Alicante
03750,0,Pedreguer
03780,10,Alicante
03789,1,Alicante
03803,17,Alicante
03804,0,Alicante
04003,5,Almería
04004,9,Almería
04005,5,Almería
04007,0,Almería
04008,0,Almería
04009,1,Almería
04120,0,Almería
04130,1,Almería
04230,0,Almería
04600,14,Almería
04630,4,Almería
04660,0,Almería
04700,6,Almería
04720,2,Almería
04721,0,Almería
04738,0,Almería
04740,0,Almería
04741,1,Almería
04745,1,Almería
04746,1,Almería
04760,4,Berja
04800,5,Almería
04815,0,Almería
04860,4,Almería
05001,0,Ávila
05004,6,Ávila
05200,0,Ávila
06003,6,Badajoz
06005,0,Badajoz
06006,0,Badajoz
06010,1,Badajoz
06011,9,Badajoz
06100,10,Badajoz
06160,0,Badajoz
06200,0,Badajoz
06225,1,Badajoz
06300,3,Badajoz
06310,9,Badajoz
06360,2,Badajoz
06400,1,Badajoz
06430,3,6430
06450,0,Badajoz
06480,8,Badajoz
06500,2,Badajoz
06510,0,Badajoz
06700,0,Badajoz
06800,26,Badajoz
06850,1,Badajoz
06900,1,Badajoz
07006,5,Illes Balears
07007,1,Illes Balears
07010,0,Illes Balears
07011,0,Illes Balears
07013,3,Illes Balears
07141,3,Illes Balears
07144,0,Illes Balears
07193,0,Illes Balears
07200,0,Illes Balears
07260,0,Illes Balears
07300,9,Illes Balears
07330,2,Illes Balears
07400,4,Illes Balears
07460,1,Illes Balears
07500,25,Illes Balears
07590,7,Illes Balears
07600,0,Illes Balears
07620,6,Illes Balears
07630,5,Campos
07650,16,Illes Balears
07680,4,Illes Balears
07710,0,Illes Balears
07730,2,Illes Balears
07740,1,Illes Balears
07749,0,Illes Balears
07760,5,Illes Balears
07800,0,Illes Balears
07816,0,Illes Balears
07817,13,Illes Balears
08001,1,Barcelona
08002,0,Barcelona
08003,0,Barcelona
08005,0,Barcelona
08008,0,Barcelona
08011,1,Barcelona
08012,1,Barcelona
08013,3,Barcelona
08014,2,Barcelona
08015,0,Barcelona
08017,4,Barcelona
08018,0,Barcelona
08020,0,Barcelona
08021,10,Barcelona
08022,4,Barcelona
08023,1,Barcelona
08024,1,Barcelona
08025,0,Barcelona
08026,1,Barcelona
08027,20,Barcelona
08028,5,Barcelona
08029,6,Barcelona
08030,5,Barcelona
08031,0,Barcelona
08032,0,Barcelona
08041,9,Barcelona
08100,7,Barcelona
08110,2,Barcelona
08130,0,Barcelona
08140,24,Barcelona
08160,0,Barcelona
08172,0,Barcelona
08173,5,Barcelona
08174,0,Barcelona
08180,1,Barcelona
08184,5,Barcelona
08186,2,Barcelona
08191,1,Barcelona
08197,0,Barcelona
08202,6,Barcelona
08205,0,Barcelona
08206,0,Barcelona
08208,6,Barcelona
08210,0,Barcelona
08211,1,Barcelona
08213,6,Barcelona
08214,0,Barcelona
08224,0,Barcelona
08226,1,Barcelona
08227,7,Barcelona
08228,0,Barcelona
08230,0,Barcelona
08233,4,Barcelona
08241,0,Barcelona
