Cod_DC,SUM_Total_censo humano,Shape_Leng,Shape_Area,Cod _prov,Cod _prov,Cod _prov,CCAA,COD_CCAA,Prov,Tasa_CCAA,Estimacion mascotas CP
0100101,2969.00000000000,35306.39342860000,19924903.00390000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,198.9334035
0100201,10299.00000000000,66231.47890430000,96028435.67640000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,690.0690881
0100301,1409.00000000000,42800.49717510000,73454894.97730000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,94.40793719
0100401,1832.00000000000,22968.48593750000,27289796.50200000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,122.7504194
0100601,233.00000000000,24448.69740600000,12832791.79390000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,15.61181644
0100801,1042.00000000000,65823.13424800000,57526541.46170000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,69.8176512
0100901,1607.00000000000,51725.35204440000,63260804.43080000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,107.674631
0101001,2918.00000000000,64730.21214470000,140864206.39600000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,195.5162248
0101101,298.00000000000,18149.55778850000,9333588.72860000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,19.9670442
0101301,895.00000000000,59095.11044160000,97967187.84090000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,59.96813611
0101401,458.00000000000,38836.39831480000,35982398.83850000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,30.68760485
0101601,539.00000000000,86338.13002190000,130769939.90300000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,36.11488867
0101701,1079.00000000000,52420.84969070000,85118713.09880000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,72.29678085
0101801,1819.00000000000,48777.76718000000,101969213.34400000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,121.8793738
0101901,176.00000000000,16373.54376230000,12454019.40050000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,11.79261671
0102000,0.00000000000,26399.07400750000,19801427.02300000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,0
0102001,401.00000000000,44465.50253380000,84051291.82400000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,26.86840512
0102101,637.00000000000,60402.36706200000,31341718.10570000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,42.68123207
0102201,968.00000000000,21771.47792660000,16276930.00500000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,64.85939191
0102301,314.00000000000,22284.83508570000,17447276.06310000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,21.03910027
0102701,540.00000000000,84083.14884040000,46847709.56330000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,36.18189218
0102801,1577.00000000000,35566.23662330000,38330194.15810000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,105.6645259
0103001,172.00000000000,43244.85235320000,48411739.51660000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,11.52460269
0103101,1486.00000000000,87711.71885420000,80416014.51500000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,99.567207
0103201,708.00000000000,27057.48142960000,24168385.88680000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,47.43848086
0103301,869.00000000000,12331.49452310000,5950453.22754000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,58.22604501
0103401,220.00000000000,16940.35021400000,9701924.42182000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,14.74077089
0103601,17910.00000000000,27619.53802470000,37412271.31020000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,1200.032757
0103701,812.00000000000,60761.31522220000,122720687.56900000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,54.40684528
0103901,208.00000000000,12388.31889970000,8777792.91907000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,13.93672884
0104101,198.00000000000,12067.79806230000,8983918.24646000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,13.2666938
0104201,1196.00000000000,35011.44127960000,30519170.00500000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,80.13619083
